,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
100,11,03/11/2018 12:30,Vitality Stadium,Bournemouth,Man Utd,1 - 2,D,26.840216953674616,59.37136491523265,13.788418131092719
101,11,03/11/2018 15:00,Cardiff City Stadium,Cardiff,Leicester,0 - 1,D,27.452748945808636,56.56744543405612,15.979805620135245
102,11,03/11/2018 15:00,Goodison Park,Everton,Brighton,3 - 1,D,24.480029079702142,51.022834187105914,24.497136733191937
103,11,03/11/2018 15:00,St. James' Park,Newcastle,Watford,1 - 0,D,14.914804092506792,67.51730060751483,17.567895299978378
104,11,03/11/2018 15:00,London Stadium,West Ham,Burnley,4 - 2,D,18.53674197439659,59.83105279700145,21.63220522860197
105,11,03/11/2018 17:30,Emirates Stadium,Arsenal,Liverpool,1 - 1,D,19.028705920953765,58.91915043393111,22.052143645115116
106,11,03/11/2018 19:45,Molineux Stadium,Wolves,Spurs,2 - 3,D,16.426504077793762,62.82787069233592,20.745625229870328
107,11,04/11/2018 15:00,Etihad Stadium,Man City,Southampton,6 - 1,D,25.605875837118212,52.337231483047,22.05689267983479
108,11,04/11/2018 16:00,Stamford Bridge,Chelsea,Crystal Palace,3 - 1,A,99.67661024053598,0.3232915195499704,9.82399140497293e-05
109,11,05/11/2018 20:00,John Smith's Stadium,Huddersfield,Fulham,1 - 0,D,17.562513334434378,61.94804677320833,20.489439892357293
110,12,10/11/2018 12:30,Cardiff City Stadium,Cardiff,Brighton,2 - 1,D,25.152716574610867,53.2634448637407,21.58383856164843
111,12,10/11/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,1 - 1,D,14.18654852848166,67.68813081631946,18.125320655198898
112,12,10/11/2018 15:00,King Power Stadium,Leicester,Burnley,0 - 0,D,21.667813990365513,50.861424121418544,27.47076188821594
113,12,10/11/2018 15:00,St. James' Park,Newcastle,Bournemouth,2 - 1,D,12.665706098360877,68.10320726067636,19.231086640962772
114,12,10/11/2018 15:00,St. Mary's Stadium,Southampton,Watford,1 - 1,D,16.481917893789984,65.17255914488685,18.345522961323173
115,12,10/11/2018 17:30,Selhurst Park,Crystal Palace,Spurs,0 - 1,D,12.449806899279887,68.4966495898261,19.053543510894013
116,12,11/11/2018 12:00,Anfield,Liverpool,Fulham,2 - 0,D,23.716325695292646,57.09339573863519,19.19027856607216
117,12,11/11/2018 14:15,Stamford Bridge,Chelsea,Everton,0 - 0,H,7.282045197510618e-05,0.1654644805684893,99.83446269897954
118,12,11/11/2018 16:30,Emirates Stadium,Arsenal,Wolves,1 - 1,D,23.359867349799185,51.93778924362697,24.702343406573842
119,12,11/11/2018 16:30,Etihad Stadium,Man City,Man Utd,3 - 1,D,32.969895342974716,52.21249149113658,14.817613165888691
120,13,24/11/2018 15:00,Amex Stadium,Brighton,Leicester,1 - 1,D,17.588253917876628,61.47689513601604,20.934850946107336
121,13,24/11/2018 15:00,Goodison Park,Everton,Cardiff,1 - 0,D,22.506501544070872,54.94014848007326,22.55334997585586
122,13,24/11/2018 15:00,Craven Cottage,Fulham,Southampton,3 - 2,D,19.06640802260637,59.59012658003805,21.343465397355583
123,13,24/11/2018 15:00,Old Trafford,Man Utd,Crystal Palace,0 - 0,A,99.58165947865756,0.4182124766824842,0.00012804465995465436
124,13,24/11/2018 15:00,Vicarage Road,Watford,Liverpool,0 - 3,D,18.2686454828771,61.25822961636298,20.47312490075992
125,13,24/11/2018 15:00,London Stadium,West Ham,Man City,0 - 4,D,18.34125377338931,60.995936114773656,20.66281011183702
126,13,24/11/2018 17:30,Tottenham Hotspur Stadium,Spurs,Chelsea,3 - 1,D,18.12299770056916,63.5716744508951,18.30532784853575
127,13,25/11/2018 13:30,Vitality Stadium,Bournemouth,Arsenal,1 - 2,D,17.545897943107505,59.148712173602426,23.305389883290076
128,13,25/11/2018 16:00,Molineux Stadium,Wolves,Huddersfield,0 - 2,D,22.00000522070606,60.195104866701655,17.804889912592273
129,13,26/11/2018 20:30,Turf Moor,Burnley,Newcastle,1 - 2,D,11.981122640257373,60.47399226818716,27.544885091555464
130,14,30/11/2018 20:00,Cardiff City Stadium,Cardiff,Wolves,2 - 1,D,25.721029568776814,51.78745666421564,22.491513767007543
131,14,01/12/2018 15:00,Selhurst Park,Crystal Palace,Burnley,2 - 0,D,16.967607428602392,63.72465467475057,19.307737896647048
132,14,01/12/2018 15:00,John Smith's Stadium,Huddersfield,Brighton,1 - 2,D,21.535495278878372,56.374872853124636,22.08963186799699
133,14,01/12/2018 15:00,King Power Stadium,Leicester,Watford,2 - 0,D,21.539752597536808,57.07876241787271,21.381484984590486
134,14,01/12/2018 15:00,Etihad Stadium,Man City,Bournemouth,3 - 1,D,19.976950536212122,57.869699032970956,22.153350430816925
135,14,01/12/2018 15:00,St. James' Park,Newcastle,West Ham,0 - 3,D,12.389953160357702,70.25584494842546,17.354201891216842
136,14,01/12/2018 17:30,St. Mary's Stadium,Southampton,Man Utd,2 - 2,D,24.10147280213839,61.88367149828529,14.014855699576332
137,14,02/12/2018 12:00,Stamford Bridge,Chelsea,Fulham,2 - 0,D,18.71750810807332,59.568381393236415,21.71411049869027
138,14,02/12/2018 14:05,Emirates Stadium,Arsenal,Spurs,4 - 2,D,13.731403794890392,60.6296888623421,25.638907342767492
139,14,02/12/2018 16:15,Anfield,Liverpool,Everton,1 - 0,H,0.00010438849912730197,0.17942161538291623,99.82047399611795
140,15,04/12/2018 19:45,Vitality Stadium,Bournemouth,Huddersfield,2 - 1,D,19.066660031736603,60.294927867042404,20.638412101220986
141,15,04/12/2018 19:45,Amex Stadium,Brighton,Crystal Palace,3 - 1,A,99.50897021777314,0.49086105777854,0.00016872444832198065
142,15,04/12/2018 19:45,London Stadium,West Ham,Cardiff,3 - 1,D,20.805687556402646,61.02041206996235,18.173900373635
143,15,04/12/2018 20:00,Vicarage Road,Watford,Man City,1 - 2,D,17.670587185697347,59.427993088359834,22.90141972594282
144,15,05/12/2018 19:45,Turf Moor,Burnley,Liverpool,1 - 3,D,19.342084832013324,60.272947082384476,20.38496808560221
145,15,05/12/2018 19:45,Craven Cottage,Fulham,Leicester,1 - 1,D,23.709113611819518,59.125879151013095,17.165007237167394
146,15,05/12/2018 19:45,Molineux Stadium,Wolves,Chelsea,2 - 1,D,19.96312540691976,65.56874766898821,14.468126924092031
147,15,05/12/2018 19:45,Goodison Park,Everton,Newcastle,1 - 1,D,12.645340491018628,56.52768167269038,30.826977836291004
148,15,05/12/2018 20:00,Old Trafford,Man Utd,Arsenal,2 - 2,D,13.724126781694885,60.4369796261962,25.838893592108924
149,15,05/12/2018 20:00,Tottenham Hotspur Stadium,Spurs,Southampton,3 - 1,D,21.440002721760912,56.56237084429917,21.997626433939928
150,16,08/12/2018 12:30,Vitality Stadium,Bournemouth,Liverpool,0 - 4,D,19.423809010358013,60.212433631341746,20.363757358300244
151,16,08/12/2018 15:00,Emirates Stadium,Arsenal,Huddersfield,1 - 0,D,18.673543703492683,58.98320122814449,22.343255068362826
152,16,08/12/2018 15:00,Turf Moor,Burnley,Brighton,1 - 0,D,23.271438822132836,54.766673738486695,21.961887439380458
153,16,08/12/2018 15:00,Cardiff City Stadium,Cardiff,Southampton,1 - 0,D,22.309358270731803,57.61173278698133,20.07890894228687
154,16,08/12/2018 15:00,Old Trafford,Man Utd,Fulham,4 - 1,D,15.073127816964702,62.11374646673842,22.813125716296884
155,16,08/12/2018 15:00,London Stadium,West Ham,Crystal Palace,3 - 2,A,99.65721439020157,0.34270160856747833,8.400123092536117e-05
156,16,08/12/2018 17:30,Stamford Bridge,Chelsea,Man City,2 - 0,D,18.335414224472675,57.511707224629426,24.152878550897896
